"sample","flow"
"65",26008.7753741348
"66",25676.0004236261
"66",25639.1389778587
"66",26519.7541152135
"67",26469.7109373405
"67",26740.1244439675
"67",26334.4449904062
"68",26601.2589124416
"68",26816.3293220479
"68",26499.5015023236
"69",27159.0263388864
"69",26876.5467813125
"69",26118.4162170688
"70",27048.3063634781
"70",26671.7922434006
"70",26349.3623445417
"71",26149.0844282445
"71",26429.9368613012
"71",26155.7637770731
"72",25775.2700810955
"72",27068.6662016852
"72",25620.9119703874
"73",26796.7825650067
"73",26522.99355985
"73",25576.2866447952
"74",26415.6687652859
"74",26331.6487162828
"74",25929.1892664924
"75",26125.080363614
"75",25608.7455881199
"75",25860.8288964321
"76",26216.5546695207
"76",26742.4602115105
"76",26108.8363204414
"77",26655.3866140219
"77",26285.8880655294
"77",27358.7092788283
"78",26624.0041846255
"78",26632.190267863
"78",26090.6983182581
"79",26032.330885701
"79",26759.2849084442
"79",25873.6069246027
"80",26920.3131865058
"80",27323.7695130424
"80",26602.1458868909
"81",26193.9206764119
"81",27188.2726043401
"81",26017.5459165411
"82",26619.6314472076
"82",26836.3885309658
"82",26971.2953226116
"83",27007.4053401791
"83",26861.7841374482
"83",26646.7539057136
"84",26541.7979393765
"84",26369.2696290151
"84",26453.190820402
"85",26285.8856040745
"85",27948.1771543901
"85",27164.9829359457
"86",26922.687267174
"86",25579.4710506516
"86",26332.0548163953
"87",26700.9665349132
"87",26266.4361764882
"87",25817.3384764329
"88",25839.0586624099
"88",26387.8085535204
"88",25728.2266928681
"89",26211.0425125198
"89",26882.2622979281
"89",25693.1298060982
"90",26922.9897888938
"90",25686.9654513304
"90",25694.8341739164
"91",26178.1767956276
"91",25730.8045870749
"91",26654.67493306
"92",26834.081054393
"92",26054.2382253893
"92",26719.4550540572
"93",25751.1647444894
"93",25905.6041428167
"93",26111.8408404222
"94",27001.5573366355
"94",25415.116709666
"94",25962.2282907772
"95",26617.1106554812
"95",26086.8681293168
"95",26932.6903125145
"96",25992.3934565405
"96",26510.2557028355
"96",26288.9712632797
"97",26159.2540957029
"97",26628.0131755777
"97",25816.907600637
"98",26813.7254334594
"98",26907.5804955063
"98",26222.4391993955
"99",26053.5837069099
"99",25845.5692775532
"99",26136.8532609396
"100",27141.8481200422
"100",27217.478606329
"100",26165.4000044352
